Date,Gold_Toman,USD_Toman,Ounce_Toman,Oil_Toman,SMA_7,SMA_30,EMA_12,EMA_26,MACD,MACD_Signal,RSI_14,Bollinger_Upper,Bollinger_Lower,Gold_Toman_Lag_1,Gold_Toman_Lag_2,Gold_Toman_Lag_3,Gold_Toman_Lag_7,USD_Toman_Lag_1,USD_Toman_Lag_2,USD_Toman_Lag_3,USD_Toman_Lag_7,Ounce_Toman_Lag_1,Ounce_Toman_Lag_2,Ounce_Toman_Lag_3,Ounce_Toman_Lag_7,Gold_PCT_Change,USD_PCT_Change,Target_NextDay_Price
2023-08-20,2279800.0,48695.0,91746248.31,4096223.53,2300342.8571428573,2328908.6666666665,2310540.9287091475,2326915.267600962,-16374.338891814463,-9217.717926360558,19.333520809898772,2401348.051718777,2268437.948281223,2263200.0,2304300.0,2304300.0,2321600.0,48792.0,48858.0,48858.0,49142.0,91929006.01,92053356.61,92639652.61,94077446.0,0.7334747260516084,-0.19880308247253176,2319000.0
2023-08-21,2319000.0,49273.0,93288573.31,4161597.53,2300042.8571428573,2328928.6666666665,2311842.3242923557,2326328.9514823724,-14486.627190016676,-10271.499779091782,38.15789473684211,2401030.47858401,2267365.52141599,2279800.0,2263200.0,2304300.0,2321100.0,48695.0,48792.0,48858.0,49296.0,91746248.31,91929006.01,92053356.61,94372263.6,1.7194490744802282,1.186980182770303,2316300.0
2023-08-22,2316300.0,49023.0,92967218.4,4119402.63,2299228.5714285714,2328598.6666666665,2312528.12055507,2325586.066187382,-13057.945632311981,-10828.788949735823,39.53764078245406,2400930.384489218,2266475.615510782,2319000.0,2279800.0,2263200.0,2322000.0,49273.0,48695.0,48792.0,49248.0,93288573.31,91746248.31,91929006.01,94093227.6,-0.11642949547218118,-0.5073772654394904,2313000.0
2023-08-23,2313000.0,49167.0,94326889.5,4091186.02,2299985.714285714,2328612.0,2312600.717392752,2324653.764988317,-12053.047595565207,-11073.640678901702,41.40285536933582,2396791.457484091,2265134.542515909,2316300.0,2319000.0,2279800.0,2307700.0,49023.0,49273.0,48695.0,48944.0,92967218.4,93288573.31,91746248.31,93115960.0,-0.14246859215127916,0.29373967321462136,2313000.0
2023-08-24,2313000.0,49167.0,94312137.0,4098561.15,2301228.5714285714,2328688.6666666665,2312662.1454861746,2323790.523137331,-11128.377651156392,-11084.58807335264,37.52481800132363,2386661.630045317,2267384.369954683,2313000.0,2316300.0,2319000.0,2304300.0,49167.0,49023.0,49273.0,48858.0,94326889.5,92967218.4,93288573.31,92639652.61,0.0,0.0,2317000.0
2023-08-26,2317000.0,49162.0,94302546.0,4098144.35,2303042.8571428573,2328665.3333333335,2313329.5077190707,2323287.521423455,-9958.013704384211,-10859.273199558955,39.44119558154646,2376529.1535759657,2270644.8464240343,2313000.0,2313000.0,2316300.0,2304300.0,49167.0,49167.0,49023.0,48858.0,94312137.0,94326889.5,92967218.4,92053356.61,0.17293558149589217,-0.010169422580186271,2311200.0
2023-08-27,2311200.0,49013.0,94016734.21,4085723.71,2309900.0,2328448.6666666665,2313001.891146906,2322392.149466162,-9390.258319255896,-10565.470223498343,38.0087664370695,2369834.2098759874,2271755.7901240126,2317000.0,2313000.0,2313000.0,2263200.0,49162.0,49167.0,49167.0,48792.0,94302546.0,94312137.0,94326889.5,91929006.01,-0.2503236944324527,-0.30307961433627684,2322500.0
2023-08-28,2322500.0,49076.0,94122861.6,4142995.83,2316000.0,2330125.3333333335,2314463.1386627667,2322400.138394594,-7936.999731827527,-10039.77612516418,50.314465408805034,2364288.475235554,2273511.524764446,2311200.0,2317000.0,2313000.0,2279800.0,49013.0,49162.0,49167.0,48695.0,94016734.21,94302546.0,94312137.0,91746248.31,0.48892350294218456,0.12853732683164587,2331500.0
2023-08-29,2331500.0,49101.0,95084086.5,4197644.39,2317785.714285714,2330278.6666666665,2317084.1942531103,2323074.202217217,-5990.007964106742,-9229.822492952693,53.43007915567282,2361071.0398954167,2274718.9601045833,2322500.0,2311200.0,2317000.0,2319000.0,49076.0,49013.0,49162.0,49273.0,94122861.6,94016734.21,94302546.0,93288573.31,0.3875134553283033,0.05094139701686817,2329400.0
2023-08-30,2329400.0,49020.0,95309588.39,4208857.23,2319657.1428571427,2330122.0,2318978.9335987857,2323542.7798307566,-4563.846231970936,-8296.627240756343,52.42146596858638,2359534.3200582233,2275125.6799417767,2331500.0,2322500.0,2311200.0,2316300.0,49101.0,49076.0,49013.0,49023.0,95084086.5,94122861.6,94016734.21,92967218.4,-0.09007076989062668,-0.16496609030366427,2329400.0
