Date,Gold_Toman,USD_Toman,Ounce_Toman,Oil_Toman
2024-07-29,3461600.00,593500.00,1410927578.98,47349429.28
2024-07-28,3427900.00,589400.00,1402772000.00,47818020.38
2024-07-27,3406200.00,590840.00,1406199200.00,47934847.58
2024-07-26,3388200.00,586460.00,1395774800.00,47579498.19
2024-07-24,3373400.00,587610.00,1418079241.69,48013612.56
2024-07-23,3395800.00,584600.00,1405729217.09,47358447.25
2024-07-22,3363000.00,581760.00,1391569920.00,47937024.89
2024-07-21,3343600.00,575960.00,1379712180.00,47591573.22
2024-07-20,3353100.00,576110.00,1380071505.00,47603967.72
2024-07-19,3362100.00,575770.00,1379257035.00,47575873.52
2024-07-17,3388200.00,572200.00,1404636587.94,48682777.05
2024-07-16,3396300.00,573300.00,1411693864.01,48002410.92
2024-07-13,3398600.00,579170.00,1398116380.00,49246824.39
2024-07-12,3384500.00,579900.00,1399878600.00,49308896.29
2024-07-10,3372300.00,579650.00,1375045701.70,49316623.06
2024-07-09,3357000.00,585100.00,1380894567.14,49534568.14
2024-07-08,3340900.00,588790.00,1386718179.25,50488742.50
2024-07-07,3380800.00,588520.00,1405680020.00,50930521.34
2024-07-06,3425400.00,588510.00,1405656135.00,50929655.94
2024-07-05,3432100.00,598300.00,1429039550.00,51776882.55
2024-07-03,3493900.00,608760.00,1436551877.72,53169096.17
2024-07-02,3481000.00,603750.00,1402511250.00,52067398.71
2024-07-01,3478500.00,608140.00,1415506723.39,52664923.07
2024-06-30,3530600.00,613620.00,1428323244.04,53022906.45
2024-06-29,3548200.00,616910.00,1435981376.88,53307195.36
2024-06-28,3512400.00,610200.00,1420362510.21,52727384.23
2024-06-26,3498100.00,603200.00,1386877410.55,51422800.00
2024-06-25,3438100.00,601200.00,1392739978.71,51108013.28
2024-06-23,3460400.00,604500.00,1400263740.97,51527578.71
2024-06-22,3409700.00,602700.00,1396094221.14,51374146.71
2024-06-21,3363700.00,601200.00,1392619621.29,51246286.72
2024-06-19,3366900.00,614800.00,1432729859.96,52460885.13
2024-06-18,3362230.00,596100.00,1389151381.79,50865214.09
2024-06-17,3355900.00,604700.00,1398308220.95,50945975.00
2024-06-15,3365800.00,602600.00,1404901581.15,49786813.66
2024-06-14,3349900.00,596500.00,1390680041.75,49282831.64
2024-06-12,3311300.00,615900.00,1438742400.00,50873339.06
2024-06-11,3321900.00,608300.00,1403652250.00,49831934.89
2024-06-10,3298100.00,609900.00,1407466200.22,49786135.32
2024-06-09,3312200.00,608500.00,1402714170.29,48448771.67
2024-06-08,3333000.00,611600.00,1409860290.14,48695593.68
2024-06-07,3332800.00,603900.00,1392110250.51,48082519.66
2024-06-05,3370600.00,601900.00,1416932848.78,47194981.20
2024-06-04,3359600.00,599800.00,1394834900.00,46496493.99
2024-06-01,3393500.00,603100.00,1400940931.10,49225023.66
2024-05-31,3333500.00,599600.00,1392810781.45,48939353.65
2024-05-29,3369000.00,605400.00,1416817649.56,50611439.08
2024-05-28,3370200.00,616500.00,1451980769.90,51921630.75
2024-05-27,3396500.00,598200.00,1395301500.00,49124185.64
2024-05-26,3354200.00,614100.00,1432388250.00,50429893.69
2024-05-25,3289400.00,612200.00,1427956500.00,50273865.68
2024-05-24,3277800.00,614500.00,1433321250.00,50462741.69
2024-05-22,3326800.00,600700.00,1435192410.67,49197330.92
2024-05-21,3336200.00,601000.00,1455441670.65,49810878.35
2024-05-20,3355200.00,604700.00,1471779270.95,50619436.45
